date,day_of_week,expiry_type,chart,sensex_open,sensex_high,sensex_low,sensex_close,vix_open,vix_close,vix_predicted_move_pct,actual_range_pct,actual_open_close_pct,intraday_high_pct,intraday_low_pct,range_vs_vix_ratio,diff_pct,vix_accuracy
2025-12-18,Thursday,weekly,▅↓▁↑█↓▄ 📉,84518.33,84780.19,84238.43,84481.81,9.84,9.71,0.51,0.64,-0.04,0.31,-0.33,1.26,0.13,Overestimated
2025-12-25,Thursday,monthly,▄↓▁↑█↓▂ 📉,85533.11,85738.18,85342.19,85408.7,9.38,9.19,0.48,0.46,-0.15,0.24,-0.22,0.96,-0.02,Overestimated
2026-01-01,Thursday,weekly,▂↓▁↑█↓▆ 📈,84793.58,85437.17,84705.57,85220.6,9.68,9.48,0.5,0.86,0.5,0.76,-0.1,1.74,0.37,Overestimated
2026-01-08,Thursday,weekly,▆↓▁↑█↓▂ 📉,84778.02,84965.27,84110.1,84180.96,9.95,10.6,0.55,1.01,-0.7,0.22,-0.79,1.82,0.45,Overestimated
2026-01-15,Thursday,weekly,▃↓▁↑█↓▃ 📈,83358.54,83809.98,83185.2,83382.71,11.2,11.32,0.59,0.75,0.03,0.54,-0.21,1.26,0.16,Overestimated
2026-01-22,Thursday,weekly,▆↓▁↑█↓▄ 📉,82459.66,82783.18,81874.39,82307.37,13.78,13.35,0.7,1.1,-0.18,0.39,-0.71,1.58,0.4,Overestimated
2026-01-29,Thursday,monthly,▆↓▁↑█↓▇ 📈,82368.96,82689.96,81707.94,82566.37,13.53,13.37,0.7,1.19,0.24,0.39,-0.8,1.7,0.49,Overestimated
2026-02-05,Thursday,weekly,█↓▁↑█↓▃ 📉,83757.54,83784.17,83151.62,83313.93,12.25,12.17,0.64,0.76,-0.53,0.03,-0.72,1.19,0.12,Overestimated
2026-02-12,Thursday,weekly,▇↓▁↑█↓▃ 📉,83968.43,84061.62,83516.67,83674.92,11.55,11.73,0.61,0.65,-0.35,0.11,-0.54,1.06,0.03,Overestimated
2026-02-19,Thursday,weekly,█↓▁↑█↓▂ 📉,83969.82,83979.36,82264.2,82498.14,12.22,13.46,0.7,2.04,-1.75,0.01,-2.03,2.9,1.34,Underestimated
2026-02-26,Thursday,monthly,▆↓▁↑█↓▄ 📉,82418.78,82579.16,81970.47,82248.61,13.49,13.06,0.68,0.74,-0.21,0.19,-0.54,1.08,0.05,Overestimated
2026-03-05,Thursday,weekly,▃↓▁↑█↓▆ 📈,79530.48,80303.83,79201.69,80015.9,21.14,17.86,0.94,1.39,0.61,0.97,-0.41,1.48,0.45,Overestimated
2026-03-12,Thursday,weekly,▅↓▁↑█↓▂ 📉,76369.65,76681.71,75871.18,76034.42,21.06,21.52,1.13,1.06,-0.44,0.41,-0.65,0.94,-0.07,Overestimated
2026-03-19,Thursday,weekly,▅↓▁↑█↓▂ 📉,74750.92,75354.18,73950.95,74207.24,18.72,22.8,1.19,1.88,-0.73,0.81,-1.07,1.57,0.68,Underestimated
2026-03-26,Thursday,monthly,▂↓▁↑█↓▅ 📈,74652.01,75849.76,74550.47,75273.45,24.74,24.64,1.29,1.74,0.83,1.6,-0.14,1.35,0.45,Overestimated
2026-04-02,Thursday,weekly,▃↓▁↑█↓▇ 📈,72262.05,73568.54,71545.81,73319.55,25.01,25.52,1.34,2.8,1.46,1.81,-0.99,2.09,1.46,Underestimated
2026-04-09,Thursday,weekly,▇↓▁↑█↓▃ 📉,77319.33,77429.33,76347.9,76631.65,19.7,20.43,1.07,1.4,-0.89,0.14,-1.26,1.31,0.33,Overestimated
2026-04-16,Thursday,weekly,█↓▁↑█↓▃ 📉,78677.56,78730.32,77674.93,77988.68,18.67,18.09,0.95,1.34,-0.88,0.07,-1.27,1.42,0.39,Overestimated
2026-04-23,Thursday,weekly,▆↓▁↑█↓▂ 📉,77983.66,78178.54,77574.18,77664.0,18.3,18.59,0.97,0.77,-0.41,0.25,-0.53,0.8,-0.2,Overestimated
2026-04-30,Thursday,monthly,▆↓▁↑█↓▆ 📉,77014.21,77254.33,76258.86,76913.5,17.44,18.46,0.97,1.29,-0.13,0.31,-0.98,1.34,0.33,Overestimated
2026-05-07,Thursday,weekly,█↓▁↑█↓▂ 📉,78339.24,78384.7,77713.21,77844.52,16.68,16.62,0.87,0.86,-0.63,0.06,-0.8,0.99,-0.01,Overestimated
2026-05-14,Thursday,weekly,▄↓▁↑█↓▆ 📈,74947.12,75681.88,74526.77,75398.72,19.43,18.61,0.97,1.54,0.6,0.98,-0.56,1.58,0.57,Underestimated
2026-05-21,Thursday,weekly,▆↓▁↑█↓▂ 📉,75732.42,75945.79,74996.78,75183.36,18.44,17.82,0.93,1.25,-0.73,0.28,-0.97,1.34,0.32,Overestimated
2026-05-28,Thursday,monthly,▄↓▁↑█↓▃ 📉,75939.86,76224.68,75748.21,75867.8,16.13,14.98,0.78,0.63,-0.09,0.38,-0.25,0.8,-0.16,Overestimated
2026-06-04,Thursday,weekly,▂↓▁↑█↓▆ 📈,73935.83,74544.24,73807.3,74360.01,16.28,15.89,0.83,1.0,0.57,0.82,-0.17,1.2,0.16,Overestimated
2026-06-11,Thursday,weekly,▂↓▁↑█↓▄ 📈,73615.99,74394.34,73518.75,73832.55,15.63,15.61,0.82,1.19,0.29,1.06,-0.13,1.46,0.37,Overestimated
2026-06-18,Thursday,weekly,▃↓▁↑█↓▇ 📈,77131.66,77492.33,76953.0,77409.98,13.19,12.67,0.66,0.7,0.36,0.47,-0.23,1.05,0.04,Overestimated
2026-06-25,Thursday,monthly,▄↓▁↑█↓▂ 📉,77391.07,77803.18,76993.16,77100.47,13.39,13.05,0.68,1.05,-0.38,0.53,-0.51,1.53,0.36,Overestimated
2026-07-02,Thursday,weekly,▁↓▁↑█↓▇ 📈,77083.14,77578.93,77063.95,77502.12,13.24,12.29,0.64,0.67,0.54,0.64,-0.02,1.04,0.02,Overestimated
2026-07-09,Thursday,weekly,▁→▁↑█↓▃ 📈,76576.14,77326.65,76576.14,76741.82,14.68,13.36,0.7,0.98,0.22,0.98,0.0,1.4,0.28,Overestimated
2026-07-16,Thursday,weekly,▅↓▁↑█↓▂ 📉,77388.42,77579.69,77086.42,77186.87,13.27,12.88,0.67,0.64,-0.26,0.25,-0.39,0.95,-0.04,Overestimated
2026-07-23,Thursday,weekly,▅↓▁↑█↓▄ 📉,76515.1,76726.66,76151.98,76391.39,13.29,13.48,0.71,0.75,-0.16,0.28,-0.47,1.06,0.05,Overestimated
