date,day_of_week,expiry_type,csv_move_direction,afternoon_direction,concordance,vix_open,vix_close,vix_bucket,t1_fii_stance,t1_pro_stance,fii_composite,fii_view,pro_composite,pro_view,price_at_2pm,session_close,inflection_time,inflection_price,move_from_inflection_pct,move_from_2pm_pct
2022-12-15,Thursday,weekly,Top to Down,Top to Down,Match,12.89,13.73,Low (<15),FII Hedging (bought puts >20K),PRO Mildly Bullish,-96899,Bearish,-127485,Strong Bearish,18505.25,18399.75,14:15,18527.5,0.69,0.57
2022-12-22,Thursday,weekly,Top to Down,Top to Down,Match,15.56,15.19,Medium (15-20),FII Hedging (bought puts >20K),PRO Hedging (bought puts >20K),-75384,Bearish,-406065,Strong Bearish,18141.15,18114.7,14:15,18182.75,0.374,0.146
2022-12-29,Thursday,monthly,Down to Up,Down to Up,Match,15.4,14.81,Medium (15-20),FII Neutral,PRO Mildly Bearish,11075,Neutral,-105443,Strong Bearish,18091.7,18210.4,14:30,18073.6,0.757,0.656
2023-01-05,Thursday,weekly,Top to Down,Down to Up,Mismatch,15.2,14.98,Medium (15-20),FII Very Bearish (sold fut >10K + bought puts >20K),PRO Hedging (bought puts >20K),-199406,Strong Bearish,-436826,Strong Bearish,17938.45,17999.8,14:10,17911.15,0.495,0.342
2023-01-12,Thursday,weekly,Top to Down,Down to Up,Mismatch,15.44,15.28,Medium (15-20),FII Neutral,PRO Confident (sold puts >20K),27974,Neutral,165719,Strong Bullish,17809.35,17866.0,14:00,17809.1,0.319,0.318
2023-01-19,Thursday,weekly,Top to Down,Top to Down,Match,14.37,13.96,Low (<15),FII Bullish (bought fut + sold puts),PRO Confident (sold puts >20K),177122,Strong Bullish,237519,Strong Bullish,18118.45,18089.05,14:15,18138.2,0.271,0.162
2023-01-25,Wednesday,monthly,Top to Down,Top to Down,Match,13.66,14.66,Low (<15),FII Hedging (bought puts >20K),PRO Hedging (bought puts >20K),-35661,Mildly Bearish,-114967,Strong Bearish,17916.75,17910.05,14:10,17946.85,0.205,0.037
2023-02-02,Thursday,weekly,Down to Up,Down to Up,Match,16.78,15.73,Medium (15-20),FII Confident (sold puts >20K),PRO Hedging (bought puts >20K),-40858,Mildly Bearish,-145258,Strong Bearish,17528.0,17611.75,14:00,17506.75,0.6,0.478
2023-02-09,Thursday,weekly,Down to Up,Down to Up,Match,13.6,13.04,Low (<15),FII Bullish (bought fut + sold puts),PRO Confident (sold puts >20K),2634,Neutral,233285,Strong Bullish,17893.05,17897.1,15:00,17876.3,0.116,0.023
2023-02-16,Thursday,weekly,Top to Down,Top to Down,Match,12.86,12.89,Low (<15),FII Neutral,PRO Confident (sold puts >20K),-23796,Neutral,159171,Strong Bullish,18077.5,18015.25,14:15,18090.2,0.414,0.344
2023-02-23,Thursday,monthly,Top to Down,Top to Down,Match,15.59,15.08,Medium (15-20),FII Very Bearish (sold fut >10K + bought puts >20K),PRO Confident (sold puts >20K),-102155,Strong Bearish,-222276,Strong Bearish,17574.0,17523.8,14:00,17584.75,0.347,0.286
2023-03-02,Thursday,weekly,Top to Down,Top to Down,Match,13.0,12.97,Low (<15),FII Neutral,PRO Bearish (sold fut >10K),41265,Mildly Bullish,363608,Strong Bullish,17321.05,17318.65,14:20,17345.4,0.154,0.014
2023-03-09,Thursday,weekly,Top to Down,Top to Down,Match,12.45,12.73,Low (<15),FII Neutral,PRO Confident (sold puts >20K),12292,Neutral,280594,Strong Bullish,17617.3,17582.8,14:05,17634.3,0.292,0.196
2023-03-16,Thursday,weekly,Top to Down,Down to Up,Mismatch,16.3,16.22,Medium (15-20),FII Confident (sold puts >20K),PRO Hedging (bought puts >20K),8638,Neutral,-79226,Bearish,16954.95,17010.15,15:00,16950.2,0.354,0.326
2023-03-29,Wednesday,monthly,Down to Up,Down to Up,Match,15.1,13.63,Medium (15-20),FII Bearish (sold fut >10K),PRO Neutral,16112,Neutral,85031,Bullish,17025.45,17116.35,14:30,16990.4,0.741,0.534
2023-04-06,Thursday,weekly,Down to Up,Down to Up,Match,12.41,11.8,Low (<15),FII Mildly Bullish,PRO Confident (sold puts >20K),126728,Strong Bullish,228143,Strong Bullish,17568.05,17602.0,14:00,17564.9,0.211,0.193
2023-04-13,Thursday,weekly,Down to Up,Down to Up,Match,12.27,11.91,Low (<15),FII Mildly Bullish,PRO Confident (sold puts >20K),-11857,Neutral,154224,Strong Bullish,17782.95,17828.15,14:10,17778.5,0.279,0.254
2023-04-20,Thursday,weekly,Top to Down,Down to Up,Mismatch,12.15,11.94,Low (<15),FII Confident (sold puts >20K),PRO Confident (sold puts >20K),30600,Mildly Bullish,-9640,Neutral,17592.7,17623.9,14:05,17584.5,0.224,0.177
2023-04-27,Thursday,monthly,Down to Up,Down to Up,Match,11.65,11.43,Low (<15),FII Neutral,PRO Bullish (bought fut + sold puts),51980,Bullish,190344,Strong Bullish,17887.95,17923.2,14:20,17859.5,0.357,0.197
2023-05-04,Thursday,weekly,Down to Up,Down to Up,Match,11.84,11.73,Low (<15),FII Very Bearish (sold fut >10K + bought puts >20K),PRO Neutral,-6636,Neutral,-12743,Neutral,18181.3,18238.6,14:10,18172.55,0.363,0.315
2023-05-11,Thursday,weekly,Top to Down,Top to Down,Match,13.08,13.22,Low (<15),FII Neutral,PRO Confident (sold puts >20K),65913,Bullish,266645,Strong Bullish,18319.3,18304.5,14:15,18343.25,0.211,0.081
2023-05-18,Thursday,weekly,Top to Down,Top to Down,Match,13.11,12.8,Low (<15),FII Hedging (bought puts >20K),PRO Hedging (bought puts >20K),-114987,Strong Bearish,-86159,Bearish,18195.7,18134.65,14:00,18201.4,0.367,0.336
2023-05-25,Thursday,monthly,Down to Up,Down to Up,Match,13.11,12.52,Low (<15),FII Hedging (bought puts >20K),PRO Hedging (bought puts >20K),-70730,Bearish,-304824,Strong Bearish,18214.15,18335.9,14:00,18213.95,0.67,0.668
2023-06-01,Thursday,weekly,Top to Down,Top to Down,Match,11.97,11.6,Low (<15),FII Very Bearish (sold fut >10K + bought puts >20K),PRO Hedging (bought puts >20K),-171623,Strong Bearish,-347376,Strong Bearish,18527.9,18486.1,14:10,18543.0,0.307,0.226
